quantile,and_Vinyl_random_forest,and_Vinyl_svm
Q1,0.7359307359307359,0.7142857142857143
Q2,0.7157287157287158,0.6666666666666666
Q3,0.7341040462427746,0.726878612716763
Q4,0.7186147186147186,0.7027417027417028
