,Overall_TNR,Overall_TPR,Q1_TNR,Q1_TPR,Q2_TNR,Q2_TPR,Q3_TNR,Q3_TPR,Q4_TNR,Q4_TPR
CNN-H,0.7232824427480916,0.7309160305343512,0.7824933687002652,0.6613924050632911,0.78125,0.6675603217158177,0.7147147147147147,0.7883008356545961,0.6389776357827476,0.7710526315789473
GPT-4o-mini FS,0.64,0.56,1.0,0.4,1.0,0.42857142857142855,0.4,0.4,0.0,0.8333333333333334
GPT-4o-mini ZS,0.64,0.52,1.0,0.4,1.0,0.2857142857142857,0.4,0.4,0.0,0.8333333333333334
RF,0.760178117048346,0.6908396946564885,0.8090185676392573,0.6487341772151899,0.79375,0.6487935656836461,0.7507507507507507,0.7186629526462396,0.7092651757188498,0.7263157894736842
SVM,0.8091603053435115,0.6081424936386769,0.8779840848806366,0.5189873417721519,0.840625,0.517426273458445,0.7837837837837838,0.6740947075208914,0.7348242811501597,0.6763157894736842
